Zone,Addresse,Nom,Nb affiches,Dernier Collage,Décollé?,Nom Itinéraire,Pos Itinéraire,Coordonnées,Officiel
Voeuil-Et-Giget,Allée des Sports,,,30/05/2022 16:49:14,FALSE,Officiel Voeuil-Et-Giget,,"45.592520, 0.149328",TRUE
Vouzan,Salles des fêtes,,,21/04/2022 18:41:08,TRUE,Officiel Vouzan,,"45.602521, 0.356358",TRUE
Sers,,Sers,1,30/05/2022 20:19:52,FALSE,,,"45.598656, 0.322019",TRUE
Dignac,,Dignac,1,30/05/2022 20:19:59,FALSE,,,"45.557450, 0.281469",TRUE
Cloulas,,Cloulas,,30/05/2022 20:19:57,FALSE,,,"45.549447, 0.312325",TRUE
Mairie isle d'Espagnac,,,1,26/04/2022 20:44:39,TRUE,,,"45.663575, 0.197613",TRUE
La Couronne,,Champ de Foire / Av Libération,,30/05/2022 08:07:09,FALSE,,,"45.606464, 0.100333",TRUE
Angoulême,"Bd Chanzy, 16006 Angoulême",Chanzy,,26/05/2022 20:45:38,FALSE,C,3,"45.6446686,0.1776752",FALSE
Angoulême,"31 Bd Besson Bey, 16000 Angoulême",Bd Besson Bey,4,29/05/2022 18:16:29,FALSE,D,3,"45.6579215,0.1607381",FALSE
Angoulême,"20 Rue de Clerac À Sillac, 16000 Angoulême",Clerac à Sillac,1,22/04/2022 23:34:49,FALSE,C,7,"45.640261, 0.156918",FALSE
Angoulême,"10 Pl. Delivertoux, 16000 Angoulême",Delivertoux,4,29/05/2022 16:24:50,FALSE,B,9,"45.648291, 0.175102",FALSE
Angoulême,"1 Rue de la Tourgarnier, 16000 Angoulême",Colonne Bussate,8,29/05/2022 16:37:44,FALSE,B,8,"45.647687, 0.166739",FALSE
Soyaux,"597 Rue Georges Courteline, 16800 Soyaux",Courteline,3,26/05/2022 18:52:18,FALSE,B,10,"45.650216, 0.184342",FALSE
Angoulême,"15 Rpe d'Aguesseau, 16000 Angoulême",Espace Franquin,8,26/05/2022 21:05:44,FALSE,D,9,"45.649534, 0.159657",FALSE
Angoulême,"1 Rue Raymond Poincaré, 16000 Angoulême",Hôtel de Police,8,26/05/2022 20:52:22,FALSE,B,7,"45.649761, 0.162807",FALSE
Angoulême,"20 Pl. Mulac, 16000 Angoulême",Place Mulac,8,29/05/2022 17:56:45,FALSE,D,6,"45.6573651,0.1487417",FALSE
Angoulême,"43 Rue Jean Maintenon, 16000 Angoulême",Maintenon,8,29/05/2022 17:48:19,FALSE,D,7,"45.651394, 0.138920",FALSE
Angoulême,"3 Rue Saint-Vincent de Paul, 16000 Angoulême",St Vincent de Paul,8,29/05/2022 17:26:57,FALSE,E,3,"45.6482841,0.1202347",FALSE
