Zone,Addresse,Nom,Nbaffiches,DernierCollage,decolle,NomIti,PosIti,Coord,Officiel
Angoulême,"Rue Emile Peyronnet, 16000 Angoulême",Emile Peyronnet,1,16/12/2022 22:55:34,TRUE,6,2,"45.6493499,0.1133838",FALSE
Angoulême,"Rue Théodore Botrel, 16006 Angoulême",Théodore Botrel,,16/12/2022 22:07:27,FALSE,,6,"45.653627, 0.168985",FALSE
Angoulême,"Rue Paul Mairat, 16006 Angoulême",Paul Mairat,,15/06/2022 09:50:38,TRUE,,4,"45.656128, 0.173252",FALSE
Angoulême,"Rue Marguerite d'Angoulême, 16006 Angoulême",Marguerite d'Angoulême,,23/12/2022 07:30:00,TRUE,2,5,"45.654789, 0.175617",FALSE
Angoulême,"Bd de la République, 16006 Angoulême",Boulevard de la République,1,17/06/2022 22:21:47,TRUE,5,2,"45.6511717,0.1702666",FALSE
Angoulême,"Rue Claude Bonnier, 16000 Angoulême",Claude Bonnier,,23/12/2022 09:56:33,FALSE,3,12,"45.630673, 0.141080",FALSE
Angoulême,"Rue du Canada, 16000 Angoulême",Canada,,23/12/2022 10:08:23,FALSE,3,8,"45.638270, 0.151998",FALSE
Angoulême,"Bd Jacques Monod, 16000 Angoulême",Boulevard Jacques Monod,,23/12/2022 10:02:00,FALSE,3,11,"45.631771, 0.155872",FALSE
Angoulême,"Rue Paul Mairat, 16006 Angoulême, France",Bus Mairat,2,23/12/2022 07:30:03,TRUE,2,1,"45.656045, 0.173206",FALSE
Angoulême,,Rue de la Loire,4,16/06/2022 00:40:03,TRUE,,,"45.641578, 0.157275",FALSE
BALZAC,Place Jean-Louis Guez de Balzac,,,15/06/2022 16:42:22,TRUE,,,"45.71123505126908, 0.1376286992288311",TRUE
BALZAC,Place de la Liberté,,,15/06/2022 16:47:55,TRUE,,,"45.711869924694284, 0.14580236342161954",TRUE
BOUEX, place de la Mairie,,,15/06/2022 01:30:03,TRUE,,,"45.616045, 0.317553",TRUE
CHAMPNIERS,Rue des Autours (Le Bourg),,,14/06/2022 22:42:51,TRUE,,,"45.714855, 0.203589",TRUE
CHAMPNIERS,Rue des Colverts (Le Bourg),,,14/06/2022 22:42:56,TRUE,,,"45.717174, 0.204578",TRUE
CHAMPNIERS,Rue de la Sauge,,,14/06/2022 22:42:41,TRUE,,,"45.700778, 0.237697",TRUE
CHAMPNIERS,Rue de l’Aneth,,,14/06/2022 22:42:48,TRUE,,,"45.704536, 0.235022",TRUE
CHAMPNIERS,Rue Jean-Baptiste de la Péruse,,,14/06/2022 22:42:37,TRUE,,,"45.747338, 0.191804",TRUE
CHAMPNIERS,Rue des Plantier,,,14/06/2022 22:43:00,TRUE,,,"45.69236821940109, 0.17772596448972328",TRUE
CHAMPNIERS,Rue des Platanes,,,14/06/2022 22:42:59,TRUE,,,"45.703257, 0.182068",TRUE
CHAMPNIERS,Rue des Porches,,,14/06/2022 22:36:33,TRUE,,,"45.691738, 0.210664",TRUE
CHAMPNIERS,Rue des Capucines Les Guérins,,,14/06/2022 22:43:02,TRUE,,,"45.703341, 0.169547",TRUE
CHAMPNIERS,Rue des Vielles Pierres (Chez Nauve),,,14/06/2022 22:42:31,TRUE,,,"45.701228, 0.208994",TRUE
CHAMPNIERS,Chemin de l’Œil de Bœuf (La Vallade),,,14/06/2022 22:31:00,TRUE,,,"45.678479, 0.184331",TRUE
CHAMPNIERS,Rue Lucien Deschamps/rue Marguerite de Valois (Les Limbaudières),,,14/06/2022 22:42:35,TRUE,,,"45.736109, 0.209972",TRUE
CHAMPNIERS,Chemin des Plaqueminiers (Les Rossignols),,,14/06/2022 22:42:53,TRUE,,,"45.703899, 0.194366",TRUE
Cloulas,,Cloulas,,30/05/2022 20:19:57,TRUE,,,"45.549447, 0.312325",TRUE
Dignac,,Dignac,1,30/05/2022 20:19:59,TRUE,,,"45.557450, 0.281469",TRUE
Dirac,mairie,,,15/06/2022 01:29:58,TRUE,,,"45.605417, 0.248379",TRUE
Fléac,École,,,11/06/2022 10:12:39,TRUE,,,"45.66774337862188, 0.09682043962804135",TRUE
Fléac,Thouérat (Placette),,,14/06/2022 14:32:20,TRUE,,,"45.673354, 0.111087",TRUE
Fléac,Rue de La Lurate,,,11/06/2022 10:26:01,TRUE,,,"45.679738, 0.100757",TRUE
Fléac,Place Bioujou (La Vallade),,,11/06/2022 10:43:33,TRUE,,,"45.683710, 0.089674",TRUE
Fléac,Place de Brénat,,,15/06/2022 17:00:36,TRUE,,,"45.691397, 0.078034",TRUE
Fléac,Rue de Badoris,,,11/06/2022 10:09:18,TRUE,,,"45.650850, 0.098371",TRUE
Fléac,Avenue des Sports,,,11/06/2022 09:51:22,TRUE,,,"45.66197330713641, 0.0897632971530561",TRUE
Fléac,Place Markbreit (centre commercial,,,11/06/2022 09:55:41,TRUE,,,"45.664357, 0.093576",TRUE
GARAT,"Rue du Stade, clôture du Stade Jean Niollet",,,15/06/2022 01:29:56,TRUE,,,"45.621714, 0.262950",TRUE
GOND-PONTOUVRE,Route de Vars (mur du cimetière),,,14/06/2022 18:21:00,TRUE,,,"45.663938, 0.162226",TRUE
GOND-PONTOUVRE,Route de Vars (face au Crédit Agricole),,,19/06/2022 10:47:37,TRUE,,,"45.669112, 0.160852",TRUE
GOND-PONTOUVRE,Chalonne,,,14/06/2022 18:38:00,TRUE,,,"45.689478, 0.155924",TRUE
GOND-PONTOUVRE,Rue Pasteur,,,15/06/2022 19:03:07,TRUE,,,"45.674002, 0.170612",TRUE
GOND-PONTOUVRE,Rue du Général Leclerc (coté voie de chemin de fer),,,14/06/2022 18:16:16,TRUE,,,"45.660782, 0.171109",TRUE
GOND-PONTOUVRE,Route de Paris (Pont de Pisany),,,14/06/2022 18:10:14,TRUE,,,"45.665928, 0.171028",TRUE
GOND-PONTOUVRE,Route de Paris (Pont de la Touvre),,,14/06/2022 18:02:54,TRUE,,,"45.676359, 0.175546",TRUE
GOND-PONTOUVRE,Rue de l'Égalité (ancienne mairie),,,14/06/2022 18:23:21,TRUE,,,"45.667181, 0.165811",TRUE
GOND-PONTOUVRE,École du Pontouvre,,,14/06/2022 18:07:29,TRUE,,,"45.671688, 0.173511",TRUE
GOND-PONTOUVRE,École de Roffit,,,14/06/2022 18:32:16,TRUE,,,"45.675873, 0.158100",TRUE
GOND-PONTOUVRE,Rue du Treuil (grille du CES),,,14/06/2022 18:58:09,TRUE,,,"45.680128, 0.163816",TRUE
L'isle D'espagnac,Rue de la libération,Rue de la libération,1,14/06/2022 22:57:37,TRUE,,1,"45.666133, 0.202772",TRUE
L'isle D'espagnac,Avenue Jean Mermoz ,foyer culture loisirs,1,14/06/2022 22:57:35,TRUE,,1,"45.672439, 0.209565",TRUE
L'isle D'espagnac,Avenue de Montbron,Bois Boutin,,14/06/2022 23:12:20,TRUE,,,"45.662133, 0.218808",TRUE
L'isle D'espagnac,Avenue Jean Jaurès,rue Georges Clémenceau,,14/06/2022 23:37:12,TRUE,,,"45.652663, 0.190478",TRUE
L'isle D'espagnac,Rue des Plantiers,Rue des Plantiers,1,14/06/2022 23:16:57,TRUE,,1,"45.666151, 0.195949",TRUE
L'isle D'espagnac,Rue Denis Papin,,1,14/06/2022 23:33:44,TRUE,,1,"45.658958, 0.190642",TRUE
L'isle D'espagnac,Rue Aristide Briand,Ancien garage,,14/06/2022 23:07:17,TRUE,,,"45.659478, 0.202945",TRUE
L'isle D'espagnac,Rue Victore Hugo,Rue Victore Hugo,1,14/06/2022 23:22:47,TRUE,,1,"45.668552, 0.187267",TRUE
